date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2003-04-28,sh.600004,7.7200,8.7600,7.6900,8.7500,187469932,1512258214.0000,3,46.867483,1,48.809520,30.521804,6.877233,9.311922,79.005461,0
2003-04-29,sh.600004,8.5000,8.7100,8.2700,8.4900,75212876,635863436.0000,3,18.803219,1,-2.970000,29.614870,6.672881,9.035225,76.657870,0
2003-04-30,sh.600004,8.5500,9.1000,8.5500,8.8600,80122537,710063498.0000,3,20.030634,1,4.360000,30.905506,6.963690,9.428987,79.998673,0
2003-05-12,sh.600004,8.7000,8.8700,8.3000,8.6800,36122395,308806284.0000,3,9.030599,1,-2.030000,30.277629,6.822215,9.237427,78.373418,0
2003-05-13,sh.600004,8.6400,8.6600,8.0000,8.0900,39277696,325715933.0000,3,9.819424,1,-6.800000,28.219588,6.358493,8.609537,73.046192,0
2003-05-14,sh.600004,8.0000,8.4900,7.9200,8.3500,30387370,253425348.0000,3,7.596843,1,3.210000,29.126521,6.562845,8.886234,75.393783,0
2003-05-15,sh.600004,8.3300,8.5900,8.1600,8.5500,28183918,236834456.0000,3,7.045980,1,2.400000,29.824163,6.720039,9.099078,77.199622,0
2003-05-16,sh.600004,8.5500,8.6800,8.3600,8.5600,36065125,307204529.0000,3,9.016281,1,0.120000,29.859045,6.727899,9.109721,77.289914,0
2003-05-19,sh.600004,8.6000,8.9800,8.6000,8.7500,46250444,407544272.0000,3,11.562611,1,2.220000,30.521804,6.877233,9.311922,79.005461,0
2003-05-20,sh.600004,8.7500,8.8300,8.5500,8.6800,17067564,147727684.0000,3,4.266891,1,-0.800000,30.277629,6.822215,9.237427,78.373418,0
2003-05-21,sh.600004,8.6800,8.7700,8.5200,8.6000,12859547,110939930.0000,3,3.214887,1,-0.920000,29.998573,6.759338,9.152289,77.651082,0
2003-05-22,sh.600004,8.5800,8.7200,8.5000,8.6500,10301282,88781118.0000,3,2.575321,1,0.580000,30.172983,6.798636,9.205500,78.102542,0
2003-05-23,sh.600004,8.7000,9.5200,8.5100,9.1200,72926760,670901997.0000,3,18.231690,1,5.430000,31.812440,7.168042,9.705684,82.346264,0
2003-05-26,sh.600004,9.1000,9.4000,9.0900,9.1500,46718180,431132436.0000,3,11.679545,1,0.330000,31.917086,7.191621,9.737610,82.617139,0
2003-05-27,sh.600004,9.1900,9.2900,9.0600,9.1500,20188005,184901453.0000,3,5.047001,1,0.000000,31.917086,7.191621,9.737610,82.617139,0
2003-05-28,sh.600004,9.2000,9.2800,8.9800,9.0200,33183174,302104859.0000,3,8.295794,1,-1.420000,31.463619,7.089445,9.599262,81.443344,0
2003-05-29,sh.600004,9.0200,9.3700,8.9600,9.3500,23025540,210900164.0000,3,5.756385,1,3.660000,32.614727,7.348815,9.950454,84.422979,0
2003-05-30,sh.600004,9.3800,9.5300,9.2000,9.2300,26011735,244128620.0000,3,6.502934,1,-1.280000,32.196143,7.254499,9.822748,83.339475,0
2003-06-02,sh.600004,9.2500,9.4700,9.2000,9.2800,21582098,201804921.0000,3,5.395524,1,0.540000,32.370553,7.293797,9.875959,83.790935,0
2003-06-03,sh.600004,9.3000,9.3700,9.1700,9.1800,13226726,122447236.0000,3,3.306681,1,-1.080000,32.021732,7.215200,9.769537,82.888015,0
2003-06-04,sh.600004,9.1600,9.3000,9.0800,9.2700,12237084,112488205.0000,3,3.059271,1,0.980000,32.335671,7.285937,9.865317,83.700643,0
2003-06-05,sh.600004,9.2200,9.2900,9.0900,9.1500,12108703,110737203.0000,3,3.027176,1,-1.290000,31.917086,7.191621,9.737610,82.617139,0
2003-06-06,sh.600004,9.1000,9.2800,9.0700,9.1600,9715878,88911859.0000,3,2.428970,1,0.110000,31.951968,7.199481,9.748252,82.707431,0
2003-06-09,sh.600004,9.0900,9.2000,9.0800,9.1200,6946622,63322602.0000,3,1.736655,1,-0.440000,31.812440,7.168042,9.705684,82.346264,0
2003-06-10,sh.600004,9.1200,9.3900,9.1100,9.2900,16954572,157420724.0000,3,4.238643,1,1.860000,32.405435,7.301657,9.886601,83.881227,0
2003-06-11,sh.600004,9.3000,9.4700,9.2600,9.4000,13992361,131429944.0000,3,3.498090,1,1.180000,32.789138,7.388113,10.003665,84.874438,0
2003-06-12,sh.600004,9.4400,9.4500,9.2800,9.3200,8916546,83354483.0000,3,2.229137,1,-0.850000,32.510081,7.325236,9.918528,84.152103,0
2003-06-13,sh.600004,9.3600,9.4500,9.2900,9.3200,6677204,62495500.0000,3,1.669301,1,0.000000,32.510081,7.325236,9.918528,84.152103,0
2003-06-16,sh.600004,9.3200,9.3800,9.1700,9.2700,6645891,61435524.0000,3,1.661473,1,-0.540000,32.335671,7.285937,9.865317,83.700643,0
2003-06-17,sh.600004,9.2200,9.2700,9.1500,9.1900,5069464,46610786.0000,3,1.267366,1,-0.860000,32.056614,7.223060,9.780179,82.978307,0
2003-06-18,sh.600004,9.1900,9.3200,9.1200,9.1400,6074105,55781138.0000,3,1.518526,1,-0.540000,31.882204,7.183761,9.726968,82.526848,0
2003-06-19,sh.600004,9.1300,9.1900,9.0100,9.0700,6532675,59409928.0000,3,1.633169,1,-0.770000,31.638030,7.128743,9.652473,81.894804,0
2003-06-20,sh.600004,9.3000,9.3000,9.0300,9.0800,5142399,46895164.0000,3,1.285600,1,0.110000,31.672912,7.136603,9.663115,81.985096,0
2003-06-23,sh.600004,9.0600,9.1200,8.9600,9.0500,6939561,62547673.0000,3,1.734890,1,-0.330000,31.568266,7.113024,9.631188,81.714220,0
2003-06-24,sh.600004,9.0300,9.1000,8.9700,9.0500,3128626,28250536.0000,3,0.782157,1,0.000000,31.568266,7.113024,9.631188,81.714220,0
2003-06-25,sh.600004,9.0900,9.1000,8.6800,8.7000,19463165,171431598.0000,3,4.865791,1,-3.870000,30.347393,6.837935,9.258711,78.554001,0
2003-06-26,sh.600004,8.7000,8.7000,8.7000,8.7000,0,0.0000,3,,0,0.000000,30.347393,6.837935,9.258711,78.554001,0
2003-06-27,sh.600004,8.8000,8.9200,8.6300,8.7100,11451907,100730062.0000,3,2.862977,1,0.110000,30.382276,6.845794,9.269354,78.644293,0
2003-06-30,sh.600004,8.7000,8.8400,8.6500,8.6900,4754370,41484932.0000,3,1.188592,1,-0.230000,30.312511,6.830075,9.248069,78.463710,0
2003-07-01,sh.600004,8.6900,8.8700,8.6800,8.7100,4670093,40975090.0000,3,1.167523,1,0.230000,30.382276,6.845794,9.269354,78.644293,0
2003-07-02,sh.600004,8.7500,8.8600,8.6800,8.8500,3782347,33290309.0000,3,0.945587,1,1.610000,30.870624,6.955830,9.418344,79.908381,0
2003-07-03,sh.600004,8.8500,8.9400,8.7500,8.9300,4373715,38777601.0000,3,1.093429,1,0.900000,31.149681,7.018708,9.503482,80.630716,0
2003-07-04,sh.600004,8.9200,9.0500,8.8700,8.8800,5167603,46344703.0000,3,1.291901,1,-0.560000,30.975271,6.979409,9.450271,80.179257,0
2003-07-07,sh.600004,8.8500,8.9200,8.7600,8.8300,3491459,30836117.0000,3,0.872865,1,-0.560000,30.800860,6.940111,9.397060,79.727797,0
2003-07-08,sh.600004,8.8100,8.9700,8.8100,8.9300,2671513,23762127.0000,3,0.667878,1,1.130000,31.149681,7.018708,9.503482,80.630716,0
2003-07-09,sh.600004,8.8600,8.9300,8.7300,8.7900,4579623,40313934.0000,3,1.144906,1,-1.570000,30.661332,6.908672,9.354491,79.366629,0
2003-07-10,sh.600004,8.7500,9.1700,8.7400,9.0700,14400861,130383789.0000,3,3.600215,1,3.190000,31.638030,7.128743,9.652473,81.894804,0
2003-07-11,sh.600004,9.0900,9.1000,8.9400,9.0400,5906564,53304646.0000,3,1.476641,1,-0.330000,31.533384,7.105164,9.620546,81.623928,0
2003-07-14,sh.600004,9.0500,9.2400,8.9900,9.1300,13161595,120738561.0000,3,3.290399,1,1.000000,31.847322,7.175902,9.716326,82.436556,0
